project_id,repo
H-001,https://github.com/hdaw1905/AI_Microscopy_FoamDynamics
H-002,https://github.com/benke97/Stemson_Hackathon_2025
H-003,https://github.com/woojinb1/AI-ML-for-Microscopy-Hackathon-2025
H-004,https://github.com/Corteleo/TeamNanosurf_AFM_STT
H-005,https://github.com/Ethanlo08/-Automation-of-Phase-Searching-in-NMC-811
H-006,https://github.com/Akshaya-sengodi/stem-denoising-hackathon
H-007,https://github.com/MII-Group/AFM_SPARK
H-008,https://colab.research.google.com/drive/1S_MWaPBCk_4kufvxYnwTOxwIZSKx8y9y?usp=sharing
H-009,https://github.com/nhgowtham/hackathon_gg.git
H-010,https://github.com/syedahmedkhaderi/smartscan-microscopy-hackathon-2025
H-011,https://github.com/sidsouhil/Aiscia-Foam-Stability-Simulator/tree/main
H-012,https://drive.google.com/drive/folders/1DpiAWZRzvZth_w1R2zlZEEjpMWeat2_Y?usp=sharing
H-013,https://github.com/adibgpt/AIScientist4Microscopy
H-014,https://github.com/iamthomaspruyn/VLRIMM/tree/main
H-015,https://github.com/Subham2507/mic_hackathon
H-016,https://github.com/Vani-Nigam07/mic-hackahton-mcp
H-017,https://github.com/zakidotai/MARVL
H-018,https://github.com/blaiszik/microstack
H-019,https://github.com/marberi/mic_hackathon
H-020,https://github.com/callen350/haadf-stem-hackathon?
H-021,https://github.com/ashriva16/4Denoising
H-022,https://github.com/msehabibur/mic-hackathon-25/tree/main
H-023,https://github.com/ClaudiaSosaEspada/Anomaly-Detection-and-Clustering-of-Atomic-Resolution-STEM-.git
H-024,https://github.com/vivekdev-empa/Insitu_tensile_hackathon2025.git
H-025,https://github.com/JosepCru/Hackathon-2025_MCP-Server-With-Claude/tree/main
H-026,https://github.com/M10vir/Graph-O-Foam/tree/main
H-027,https://github.com/VPD-group/EBSD-phase-mapping
H-028,https://github.com/eheon1/UTKMicroscropyHackathon2025_TeamHACKate.git
H-029,https://github.com/kbarakati/CAVA
H-030,https://github.com/AustinHouston/asyncroscopy.git
H-031,https://github.com/hasanjawad001/rheed-universal-translator
H-032,https://github.com/BridgetSquidget/bio_stemgpt
H-033,https://github.com/estump-1999/ai-ml-microscopy-hackathon-ds-uc.git
H-034,https://github.com/TimothyLambdenCambridge/Hack-The-Microscopy-2025
H-035,https://github.com/rbulanadi/TeamLASER
H-036,https://github.com/YuvalNoiman/Microscopy-Hackathon-2025
H-037,https://github.com/tharushi94-hub/ML-Cryo-EM-ice-detection-hacakthon
H-038,https://github.com/RAW-Ayyubi/VGG16-defect-detection-in-STEM-Images
H-039,https://github.com/NoHolt/ML-Hackathon-2025
H-040,https://github.com/PaulYogesh/Mic-hackathon-2025
H-041,https://github.com/navyanthkusampudi/Denoise_2DXRD/tree/main
H-042,https://github.com/jmgerac/EM-Caddie
H-043,https://github.com/MJRaei/NanORange
H-044,https://github.com/ahmxdd/3DreconstructionMIChack
H-045,https://github.com/LambdaLearner/gridscope
H-046,https://github.com/sridurgesh007/microscopy_hackathon_team_iphasenet.git
H-047,https://github.com/Abbsaabdul/Nanoscale-Structure-Disentanglement.git
H-048,https://github.com/gnganesh99/RAG-for-SPM-data-analysis
H-049,https://github.com/kingbedjed/Defect-Detector
H-050,https://colab.research.google.com/drive/1kqNHPechtN5VJrU1P4amR6qEyZQR883r?usp=sharing
H-051,https://github.com/tyh0123/RL_STEM/tree/main
H-052,https://github.com/MinxZ/loopfittingproblem
H-053,https://github.com/yevhenbrych-blip/Aadershy-and-Yevling-Hackathon
H-054,https://github.com/XinyuanWang283/microscopy_hackathon
H-055,https://colab.research.google.com/drive/1tg1PkQiOBbr-sBQXQ5faEjosyOcrq7Va?usp=sharing
H-056,https://github.com/Karishma-2212/MIC_Hackthon_Team_Nanobots
H-057,https://github.com/pyF4all/ml_4_bio_mic25
H-058,https://github.com/hb-datag/vantascope
H-059,https://github.com/offthewallace/hackMCP
H-060,https://github.com/vnpawan/Mic_Hack_2025_Penn
H-061,https://github.com/adityaraghavan98/IQ-X/blob/main/IQ_X_Hack.ipynb
H-062,https://github.com/Jonah-Wilbur/Microscopy_Hackathon_2025/blob/main/README.md
H-063,https://github.com/sushant-k-sinha/microseg_lab
H-064,https://github.com/msunda17/RONIN
H-065,https://uofi.app.box.com/s/rqb0ojsxzx9tmwxwjgfetvl0hc64kqzz
H-066,https://github.com/Abhishek-Gupta-GitHub/confocal_microscopy-copilot
H-067,https://colab.research.google.com/drive/1FOSMb_qawqVsCiU09nkWm2nspC5f566r?usp=sharing
H-068,https://github.com/twinspec
